product_type,premium_mode,payment_method,agent_channel,underwriting_class,e_bill_enrolled,portal_account_created,customer_service_contacts_30d,email_open_rate_30d,age_at_issue,credit_proxy_score,has_prior_aaa_membership,tenure_aaa_membership_months,uw_decision_days,first_premium_paid_days,face_amount,lapse_12m
term_20,semiannual,credit_card,online,preferred,1,1,1,0.4542280188106087,66,0.4280148261438141,1,105,6,1,339802,0
term_10,monthly,ach,captive,substandard,0,1,1,0.2682651872631489,53,0.8530233458491334,1,58,7,4,343544,1
term_10,quarterly,ach,online,standard,1,1,0,0.7534197494256538,66,0.33916278996990146,0,0,4,0,151322,1
ul,semiannual,credit_card,independent,preferred,0,1,2,0.3880124418086405,60,0.48009547290635207,0,0,10,0,278168,1
whole_life,semiannual,ach,online,substandard,1,1,0,0.3210662745705436,39,0.49692257889014974,0,0,6,3,313057,1
whole_life,monthly,credit_card,independent,standard,0,0,0,0.4863082235454841,62,0.6269233461209147,0,0,9,0,167906,0
whole_life,semiannual,ach,independent,pref_plus,0,0,2,0.2687585273677882,25,0.4897176449834967,1,81,11,2,156129,1
ul,monthly,ach,independent,standard,1,1,0,0.6432693622872397,64,0.8631087291548549,1,91,3,0,170636,1
term_10,semiannual,credit_card,captive,standard,0,0,0,0.603070491165529,66,0.3531668772771539,1,116,20,0,133056,0
term_20,semiannual,ach,captive,standard,0,0,0,0.47612490519916895,48,1.0,1,39,19,0,333795,1
term_20,monthly,check,captive,substandard,0,0,0,0.5683105942208289,66,0.40942091807312264,1,48,9,3,326344,1
term_20,semiannual,credit_card,captive,preferred,1,1,1,0.35006587481699897,26,1.0,0,0,20,7,224099,1
ul,annual,ach,online,pref_plus,1,1,1,0.14945607918006998,24,0.796747483116916,0,0,14,6,244894,0
term_20,monthly,ach,captive,preferred,0,1,0,0.384878459197064,37,0.5801477606515582,0,0,18,3,195499,0
ul,monthly,ach,independent,standard,1,1,0,0.3496969912372519,24,0.6407933312844418,0,0,3,8,435140,0
ul,quarterly,credit_card,captive,preferred,0,1,0,0.04269283388426298,31,0.5318229520021618,1,19,9,0,215149,0
term_20,semiannual,credit_card,captive,pref_plus,1,1,1,0.23842948534599057,29,0.6624702806345355,1,100,15,6,207678,0
iul,monthly,credit_card,online,preferred,0,0,1,0.20392501230448237,42,0.4673378803697863,0,0,11,1,239756,1
term_20,monthly,ach,captive,standard,0,1,1,0.23924094036382632,52,0.7276183906192488,0,0,10,0,144813,0
ul,monthly,ach,independent,pref_plus,1,1,0,0.7166619182331562,29,0.6327595412407335,0,0,11,6,271405,0
term_20,monthly,ach,captive,preferred,1,1,0,0.5523877742761388,35,0.42188791506558115,0,0,14,4,364081,0
term_20,monthly,credit_card,captive,pref_plus,1,1,0,0.642994501129011,56,0.676886447753523,1,114,12,5,236067,0
term_20,quarterly,ach,captive,preferred,1,1,0,0.5519176699556193,32,0.6657758379450542,1,101,21,0,314092,0
term_10,quarterly,ach,independent,pref_plus,0,0,1,0.6666021313265071,36,0.47091564049191525,0,0,6,7,93168,0
term_20,monthly,ach,captive,pref_plus,1,1,0,0.455385664853362,59,0.5230129244895184,1,114,12,5,173781,0
iul,monthly,ach,independent,standard,0,0,0,0.753134362767919,39,0.6922474508380517,1,76,16,1,257744,1
whole_life,monthly,credit_card,independent,preferred,0,1,0,0.2037216402771987,32,0.7963328802065572,0,0,4,5,102156,0
term_10,monthly,credit_card,captive,preferred,1,1,1,0.43645220158588444,60,0.57439444157196,0,0,9,7,276257,1
term_20,quarterly,check,captive,standard,1,1,0,0.24502275250064426,68,0.7675179418792617,0,0,13,0,225354,0
term_10,quarterly,ach,captive,pref_plus,1,1,0,0.6983403124369117,65,0.8100710306806697,1,63,21,0,273701,1
term_10,monthly,credit_card,independent,pref_plus,1,1,0,0.5339586565050656,41,0.8345877391411707,1,39,12,1,231395,0
iul,quarterly,ach,captive,preferred,1,1,0,0.6873390253754387,21,0.6750571214689668,1,19,16,0,236864,1
term_20,monthly,credit_card,captive,preferred,1,1,0,0.169306569094004,41,0.43768518818022845,1,31,16,4,41584,0
term_20,monthly,credit_card,captive,preferred,1,1,0,0.3295123434032112,58,0.7604335047473725,0,0,0,6,162648,0
term_20,annual,ach,captive,substandard,0,1,1,0.09321004245134346,67,0.5655480258285853,0,0,12,5,290600,0
term_10,monthly,credit_card,independent,preferred,0,1,2,0.5222554159860703,23,0.6911709253468382,0,0,9,4,136711,0
term_20,monthly,ach,captive,standard,0,1,0,0.3643728387549897,26,0.48677920437360894,1,7,21,7,171491,1
whole_life,monthly,ach,captive,substandard,0,1,0,0.6011173724825795,34,0.49196929412169454,0,0,16,2,215046,0
whole_life,quarterly,ach,captive,preferred,0,1,0,0.45633093960271054,25,0.47374926357479946,1,69,17,0,222415,1
iul,monthly,ach,independent,standard,1,1,0,0.023962923727452845,28,0.36150462599438615,0,0,15,3,307289,0
whole_life,quarterly,credit_card,independent,preferred,0,0,1,0.11792436621920288,41,0.49438541817433224,0,0,12,8,268362,0
term_20,monthly,credit_card,captive,standard,0,1,0,0.46648278675614663,32,0.4140670506515912,1,16,17,4,197099,1
ul,annual,credit_card,captive,substandard,1,1,0,0.5431443981668808,49,0.7019279048882552,1,35,11,1,112864,0
iul,monthly,credit_card,independent,pref_plus,0,0,0,0.0067429867617110895,67,0.40832186917991076,1,77,19,6,494566,0
whole_life,monthly,credit_card,captive,substandard,1,1,0,0.4333044297625882,45,0.4795024141720711,0,0,5,4,253023,0
iul,monthly,ach,independent,preferred,0,1,0,0.24651964661161707,45,0.6005725891661233,0,0,18,2,323096,1
ul,monthly,ach,captive,standard,1,1,1,0.22795717385511555,67,0.9262366085714739,0,0,9,3,59304,1
ul,annual,ach,captive,preferred,1,1,0,0.3189973682466799,50,0.4754211300728456,0,0,16,1,220275,0
term_10,monthly,check,captive,preferred,0,1,1,0.47470381170146786,69,0.35120004435725993,0,0,2,5,217237,1
whole_life,quarterly,check,captive,pref_plus,0,1,0,0.30869094928081875,66,0.36386528855732786,0,0,13,0,212843,0
term_20,monthly,credit_card,independent,substandard,0,1,0,0.05277126368659096,22,0.4450849173951945,1,54,11,4,312260,0
term_20,annual,ach,captive,standard,1,1,0,0.47312657885548215,66,0.48177029245492003,0,0,11,6,228809,1
whole_life,monthly,ach,captive,standard,1,1,0,0.3798606126920501,28,1.0,0,0,1,3,215642,1
iul,quarterly,credit_card,captive,preferred,1,1,0,0.26234288701127007,33,0.7740140368716382,1,37,12,3,248927,0
iul,monthly,ach,captive,preferred,1,1,0,0.3884344879496979,47,0.5432967884940272,0,0,12,3,252023,0
term_20,monthly,credit_card,independent,preferred,1,1,0,0.38042903508111764,58,0.9335135874318269,0,0,1,5,153147,1
whole_life,semiannual,ach,independent,preferred,1,1,0,0.45880256431507516,67,0.48973546403619794,0,0,5,1,329201,0
whole_life,quarterly,ach,online,preferred,0,1,0,0.40042202200396776,43,0.5259743605005875,0,0,12,2,203740,1
term_20,monthly,credit_card,captive,substandard,1,1,0,0.4830818521523881,33,0.515177306747288,1,87,14,0,241744,1
term_10,monthly,check,captive,standard,0,1,0,0.4402785732651419,39,0.7848326116446107,0,0,11,1,369746,1
term_10,annual,credit_card,captive,preferred,1,1,1,0.6139388172853801,38,0.5874047903228229,0,0,12,0,482483,1
ul,quarterly,ach,independent,preferred,0,0,2,0.7669476388155392,34,0.8713186645522177,0,0,12,3,287448,1
term_20,quarterly,ach,captive,standard,1,1,0,0.4469731346430928,31,0.678120600291779,0,0,8,5,110672,1
iul,monthly,check,captive,standard,0,1,0,0.325677375541867,55,0.7636156078380519,0,0,10,2,227062,0
term_20,monthly,credit_card,independent,standard,1,1,0,0.1626317395777781,68,0.2730968032988091,0,0,3,6,387247,0
iul,annual,ach,captive,preferred,0,1,2,0.5792696649471211,49,0.294153989090358,0,0,8,8,231560,1
term_20,monthly,credit_card,captive,pref_plus,0,0,1,0.2695011091284097,27,0.3000777874526956,1,15,11,2,316634,1
ul,monthly,ach,captive,pref_plus,1,1,0,0.9195093579560585,53,0.5229402408958692,0,0,19,0,315481,1
term_10,monthly,ach,independent,substandard,0,1,1,1.0,48,0.32300743121056547,0,0,11,7,193692,1
term_20,annual,credit_card,independent,standard,0,1,2,0.40739414687167663,40,0.8232574593939135,0,0,24,6,401417,0
ul,quarterly,credit_card,captive,substandard,1,1,0,0.11699973227928312,21,0.5641458236843381,0,0,23,4,284318,0
iul,quarterly,ach,independent,preferred,1,1,1,0.5807568052268859,58,0.7107614869297023,0,0,12,0,247877,0
ul,semiannual,ach,captive,preferred,0,1,0,0.869757902202952,50,0.511391138494379,0,0,9,4,236907,1
term_10,quarterly,check,captive,preferred,0,0,0,0.1875448515392238,31,0.7484642809899298,0,0,25,1,156234,1
term_20,annual,credit_card,independent,substandard,0,1,0,0.8296104471065849,39,0.24628413933082077,0,0,16,0,186842,0
term_10,semiannual,credit_card,independent,preferred,1,1,0,0.08019944286955788,46,0.5911997048824269,0,0,14,4,168164,0
term_10,monthly,ach,online,standard,0,0,0,0.15915978684051496,48,0.6901295875843043,0,0,7,0,431918,0
whole_life,quarterly,check,independent,preferred,1,1,2,0.5117927270485313,52,0.7053004555783019,0,0,9,6,332960,1
whole_life,monthly,credit_card,captive,pref_plus,1,1,0,0.6533417282317664,24,0.5428176315848284,0,0,5,4,169239,1
ul,annual,ach,captive,preferred,0,1,0,0.4367121170945429,46,0.2920203005755737,1,4,20,2,397463,1
ul,monthly,ach,captive,preferred,0,0,0,0.5398838926833669,24,0.7820330336760317,1,17,15,2,359198,1
whole_life,quarterly,credit_card,captive,standard,1,1,0,0.6708825581244753,28,0.5293907899496706,1,14,10,0,198585,0
ul,monthly,credit_card,captive,substandard,1,1,1,0.6940371476873413,24,0.5450307881802138,0,0,9,0,292489,0
term_10,monthly,credit_card,captive,standard,1,1,2,0.3255400376517843,51,0.9994576425503297,0,0,6,9,195468,0
term_10,quarterly,check,captive,preferred,1,1,2,0.27730895806284633,61,0.6173881543821786,1,39,11,2,332009,1
whole_life,monthly,credit_card,independent,standard,1,1,0,0.6607151991331427,68,0.5065958408262714,0,0,13,0,289376,1
ul,semiannual,ach,captive,pref_plus,1,1,0,0.5408427432391343,56,0.49581298298496473,1,14,0,6,216117,0
term_10,monthly,ach,captive,standard,0,1,1,0.5677466215120971,59,0.7161307624248207,1,61,6,0,150991,1
term_20,annual,credit_card,independent,standard,0,1,0,0.31776325999227717,26,0.45224267737760643,0,0,7,5,244817,1
whole_life,quarterly,ach,independent,preferred,1,1,0,0.5776113085079498,20,0.6921069753792491,0,0,18,8,289320,1
term_10,semiannual,ach,captive,pref_plus,1,1,0,0.23110279261318145,35,0.7982417066544931,0,0,8,2,354027,1
term_20,monthly,credit_card,independent,preferred,1,1,0,0.49944828776310574,38,0.5841067909482357,0,0,1,7,300324,1
ul,quarterly,ach,independent,preferred,1,1,0,0.4723541656379177,41,0.7778089283604995,1,20,5,5,324109,1
whole_life,monthly,credit_card,independent,substandard,1,1,1,0.4737357557545577,53,0.5876082543366802,0,0,22,9,189862,0
term_10,quarterly,ach,captive,standard,0,1,0,0.6062395198177546,24,0.47625812684399405,0,0,9,5,91749,0
ul,quarterly,ach,captive,preferred,0,1,0,0.2459592761193647,25,0.30037615547013746,0,0,5,0,114621,1
term_20,semiannual,ach,independent,preferred,1,1,3,0.5853852266645336,61,0.6495198639020863,1,3,1,0,226672,1
ul,monthly,credit_card,captive,standard,1,1,0,0.4541301899272067,48,0.6532952265549977,0,0,12,0,188157,1
term_20,monthly,credit_card,independent,preferred,0,0,0,0.29168963596000524,38,0.7766370816327371,0,0,12,0,240152,0
term_20,semiannual,ach,independent,pref_plus,0,1,0,0.18563629415122918,61,0.7592922891967835,1,31,14,6,308707,0
term_20,monthly,ach,independent,standard,1,1,0,0.8277351230455627,53,0.9721257819977309,1,73,28,7,300205,1
term_20,quarterly,ach,online,preferred,0,1,0,0.4361099012074377,61,0.49541440841474027,1,18,4,0,62377,0
ul,annual,credit_card,independent,preferred,1,1,0,0.3790064874116188,52,0.6640634355558358,1,26,9,7,456388,0
term_10,monthly,check,online,preferred,0,0,0,0.22126515244057737,45,0.47623001376801044,1,114,13,0,281306,1
term_10,semiannual,credit_card,independent,preferred,1,1,0,0.6677308276244229,65,0.7674116566593396,1,109,9,0,273154,0
term_20,semiannual,ach,captive,substandard,0,1,1,0.6522169012646333,69,0.4331568320487753,1,14,0,0,238126,0
whole_life,monthly,credit_card,independent,standard,1,1,0,0.613700035706882,57,0.7644673982230925,0,0,15,4,227613,1
ul,quarterly,ach,independent,substandard,0,1,0,0.4377933701834883,51,0.4674231958447286,1,69,8,0,338021,0
iul,monthly,ach,online,substandard,0,1,0,0.6002515879450159,21,0.7379721898562555,1,33,5,8,172114,1
term_20,monthly,ach,captive,preferred,1,1,1,0.2852355755226867,63,0.8171637724442842,0,0,6,0,274536,0
term_20,monthly,ach,captive,preferred,1,1,0,0.4935229153970925,27,0.3202623727724556,1,37,21,5,371280,1
term_10,monthly,ach,independent,standard,1,1,0,0.43913524397978826,21,0.3575051682051972,1,118,19,0,265191,1
term_20,monthly,credit_card,captive,pref_plus,1,1,0,0.5034094138012343,42,0.6422834589893527,0,0,5,7,291059,0
iul,quarterly,ach,independent,substandard,0,0,0,0.08736786981648592,23,0.623121909219967,0,0,1,3,137626,1
whole_life,monthly,credit_card,captive,pref_plus,0,1,0,0.823937666715451,24,0.5474104042953195,0,0,17,4,316125,0
term_20,monthly,check,captive,preferred,1,1,0,0.7737062270674131,43,0.5142730427339683,1,99,24,1,279548,0
term_20,monthly,credit_card,captive,standard,1,1,0,0.21999332301430874,39,0.4460643118460362,1,86,25,1,241979,0
iul,semiannual,ach,independent,substandard,1,1,1,0.5654723330954574,26,0.6595922520176503,0,0,3,4,307747,1
term_20,monthly,credit_card,captive,standard,1,1,0,0.15260413789821226,68,0.42640388843862653,1,36,20,10,158523,1
term_10,monthly,ach,independent,standard,0,1,0,0.4667727751657226,30,0.6658979407377897,1,72,11,0,394098,0
term_20,quarterly,ach,independent,preferred,0,0,0,0.010854576475113564,30,0.49661164222913234,1,116,0,1,481386,1
term_10,monthly,ach,independent,standard,0,0,0,0.39156711905938846,60,0.5239165006462574,0,0,6,0,201912,0
term_10,quarterly,credit_card,captive,standard,1,1,1,0.35244821257280295,55,0.8188401643324765,0,0,7,0,344062,0
term_10,semiannual,credit_card,captive,preferred,1,1,1,0.6813483440073734,37,0.7718070207602177,0,0,14,0,238494,0
term_20,monthly,credit_card,independent,standard,0,0,0,0.7836954477949392,32,0.4205581117278742,0,0,3,0,151559,0
whole_life,quarterly,credit_card,captive,pref_plus,1,1,0,0.7881975672295258,65,0.44287435128651376,0,0,17,1,353775,0
term_20,annual,ach,captive,preferred,0,1,0,0.6816517558101689,21,0.7400098992619094,0,0,14,8,227288,0
term_20,annual,credit_card,online,substandard,1,1,0,0.46648352718086633,52,0.3419058579253575,1,81,18,6,298944,0
iul,semiannual,credit_card,captive,preferred,0,1,0,0.5276595115121492,24,0.8617195526160064,1,26,8,0,402833,0
ul,monthly,ach,captive,standard,1,1,1,0.5266874548633946,20,0.6243275258969346,0,0,14,6,292223,0
term_20,monthly,check,online,preferred,0,0,0,0.21393631737207736,25,0.4959212279018567,1,54,5,0,266704,0
term_20,monthly,credit_card,captive,substandard,0,0,0,0.6791851977148677,48,0.6018891704288891,0,0,16,2,173201,0
ul,semiannual,ach,captive,preferred,0,0,0,0.5880115194433119,34,0.844995204953404,0,0,10,4,173467,0
term_10,monthly,ach,captive,preferred,1,1,0,0.597300513904545,54,0.21639755021858936,0,0,11,11,239099,0
term_20,monthly,ach,independent,standard,0,1,0,0.0,68,0.7847348803627974,0,0,11,4,219678,1
iul,monthly,credit_card,independent,standard,0,0,1,0.5405497953759721,21,0.8150185077895108,1,48,1,0,304412,0
term_20,quarterly,ach,independent,preferred,1,1,0,0.6511282394274389,51,0.5422376644862933,0,0,19,5,162885,1
whole_life,semiannual,ach,online,preferred,1,1,1,0.4469513488814269,65,0.5871150763976711,0,0,12,7,187979,1
term_20,monthly,credit_card,captive,preferred,0,0,2,0.3498517149749227,26,0.6245606185788685,0,0,19,6,237869,1
whole_life,monthly,credit_card,independent,substandard,1,1,0,0.17751776804557462,40,0.7320356817347917,1,116,18,0,257706,0
term_20,annual,credit_card,captive,standard,1,1,0,0.16317022404159076,23,0.46864836421555034,0,0,7,3,254671,0
term_10,monthly,credit_card,online,substandard,1,1,0,0.48086653849147176,25,0.5973878003699387,1,2,10,2,234365,0
term_20,annual,ach,online,substandard,0,1,1,0.4030492727583458,68,0.5820209322339216,0,0,2,10,187244,0
term_10,annual,ach,captive,preferred,1,1,1,0.4002449988579835,32,0.7221921803061817,0,0,19,5,296356,0
ul,monthly,credit_card,independent,standard,0,1,0,0.7557848013320618,28,1.0,0,0,13,9,344611,1
term_20,monthly,ach,independent,standard,1,1,0,0.19881697475598387,64,0.46790256322576607,1,103,13,0,274821,0
term_20,quarterly,credit_card,captive,standard,1,1,1,0.38085960659124735,33,0.6141904749669798,1,50,10,2,203593,0
ul,monthly,check,independent,standard,1,1,0,0.7888218348724607,33,0.46305511541373745,0,0,6,0,96749,0
ul,monthly,credit_card,online,pref_plus,0,0,1,0.3875815550786924,62,0.5120097997947058,0,0,19,6,382808,1
term_20,annual,credit_card,captive,substandard,0,0,1,0.4632575428800297,57,0.40632767690515353,0,0,24,7,236017,1
term_20,monthly,credit_card,captive,standard,0,0,1,0.4149814281110119,47,0.3245134695174739,1,11,19,4,355760,1
iul,monthly,credit_card,online,standard,1,1,0,0.591156907173541,62,0.8129136167799507,1,75,10,3,381351,1
whole_life,monthly,ach,captive,preferred,1,1,0,0.03899166294448991,31,0.6640939326176488,0,0,14,4,314294,0
ul,monthly,ach,captive,preferred,1,1,0,0.4093290578945953,59,0.6167177758216206,0,0,18,0,326378,0
iul,monthly,ach,independent,standard,0,1,0,0.46088893853153795,53,0.44268824023517145,0,0,12,1,320013,1
ul,semiannual,credit_card,independent,standard,0,0,0,0.2503593064885321,48,0.5865063166086784,1,56,23,1,232308,0
term_10,semiannual,ach,captive,pref_plus,0,1,0,0.5187183493683447,38,0.3918556845778443,0,0,19,2,158131,0
term_20,monthly,ach,captive,preferred,1,1,0,0.6072757148981361,26,0.5950935878783538,0,0,28,0,313840,0
term_10,monthly,credit_card,independent,standard,1,1,1,0.5403875080652705,49,0.66007156281767,1,59,13,0,127628,1
whole_life,annual,ach,captive,substandard,0,1,0,0.8058557056476325,60,0.5023499365767343,0,0,0,0,218579,0
iul,semiannual,credit_card,independent,pref_plus,0,0,1,0.36332805131254137,24,0.4637745008364894,1,108,12,4,198832,0
term_20,monthly,ach,independent,preferred,0,1,1,0.5497152744248269,28,0.5113855530436012,0,0,9,0,295843,0
term_20,annual,ach,captive,preferred,1,1,0,0.5452088049666278,64,0.7466673762538008,1,110,13,6,268624,1
term_10,annual,ach,independent,preferred,1,1,1,0.4028767698387434,63,0.6362924055357431,0,0,22,4,198668,0
iul,monthly,ach,independent,pref_plus,0,1,0,0.6766797899242265,49,0.3107552371859928,0,0,8,6,216280,0
term_10,monthly,check,online,preferred,0,1,0,0.5076473371596726,42,0.7302230583339167,1,63,7,0,406662,0
term_10,monthly,check,captive,standard,0,1,0,0.20979109590727124,20,0.6977859876250206,1,95,8,10,187233,1
term_10,monthly,credit_card,captive,preferred,1,1,0,0.6001191256227709,65,0.6336774414137015,0,0,24,11,235334,0
term_10,quarterly,credit_card,independent,preferred,0,1,1,0.35012519116154106,47,0.8962107915560489,1,13,9,3,296320,1
term_20,monthly,credit_card,online,substandard,1,1,0,0.38544982255452,23,0.6042899231174285,0,0,13,4,255632,1
term_20,quarterly,credit_card,online,preferred,0,1,0,0.40026184783459384,38,0.6775336962457694,0,0,23,2,298724,1
term_20,quarterly,ach,captive,standard,1,1,0,0.5970582688501999,61,0.6844948358855717,0,0,15,7,337892,0
term_10,monthly,ach,captive,preferred,1,1,0,0.6657971742679127,65,0.7579347679840234,0,0,0,6,365142,0
term_10,monthly,credit_card,captive,standard,0,1,0,0.41810253863461655,51,0.5598842890257402,0,0,9,0,253609,0
term_20,monthly,check,independent,standard,1,1,0,0.4066319228755274,26,0.4839286390922594,1,7,8,0,282422,1
term_10,semiannual,ach,independent,preferred,0,0,0,0.04057096366494656,28,0.7751528143382287,1,102,1,4,266811,0
whole_life,monthly,ach,independent,standard,1,1,2,0.3080346946700647,36,0.765841225162619,0,0,9,6,178380,0
term_10,monthly,ach,captive,standard,1,1,0,0.26064692014831226,58,0.829470178769663,1,70,0,3,265601,1
term_20,monthly,ach,online,preferred,0,0,0,0.5122387170288281,58,0.6748023783508205,0,0,13,0,118210,0
term_20,monthly,credit_card,captive,standard,0,0,0,0.4285863046372832,57,0.30322391667634807,0,0,12,5,279994,1
term_20,quarterly,ach,captive,preferred,1,1,0,0.2682327553582872,31,0.6295346891416675,0,0,7,10,79434,0
term_10,monthly,check,independent,preferred,1,1,0,0.48054065945524105,35,0.6060643638123603,0,0,1,0,170846,0
term_10,monthly,credit_card,captive,substandard,1,1,0,0.43646885171947836,35,0.8213010019024862,1,43,20,6,318430,0
ul,monthly,ach,independent,preferred,1,1,1,0.0,56,0.7905178110287261,0,0,8,10,287214,1
term_10,monthly,credit_card,independent,pref_plus,0,0,0,0.6715841057386509,58,0.7103056220282403,1,111,18,6,248626,1
term_20,monthly,credit_card,captive,pref_plus,1,1,0,0.6521781446022481,21,0.2268608670586767,0,0,11,2,213960,1
term_20,annual,ach,captive,substandard,0,0,0,0.4024160569776149,55,0.45153287378084883,0,0,20,6,180842,1
term_20,semiannual,ach,captive,preferred,0,0,0,0.5205194999229693,39,0.5344290276569112,0,0,15,2,204302,1
term_20,monthly,credit_card,independent,preferred,0,1,0,0.3849456452771366,37,0.5385536363869491,1,90,12,5,304816,0
ul,monthly,ach,captive,standard,0,0,0,0.12911036137589316,45,0.6300374399052256,0,0,6,3,229680,1
ul,monthly,ach,captive,standard,0,1,0,0.882744771692203,43,0.866436893778569,0,0,19,3,83216,0
term_20,annual,ach,captive,preferred,0,1,0,0.5999530436685709,68,0.740266295285158,0,0,10,0,151480,0
term_20,quarterly,ach,independent,substandard,0,0,0,0.6381205867827692,47,0.43458011365985305,1,99,7,1,185044,1
term_10,monthly,credit_card,captive,pref_plus,0,1,0,0.3930911111688836,61,0.45083952178157655,0,0,11,9,228854,0
term_20,monthly,ach,captive,standard,0,1,0,0.6751953504007797,64,0.43458123286357575,1,21,11,0,226519,1
whole_life,annual,credit_card,captive,standard,0,0,1,0.17595427653484597,69,0.5789685831409014,0,0,17,0,165528,0
term_10,monthly,ach,captive,preferred,1,1,1,0.4009025831299361,53,0.7449989199174775,0,0,0,17,299191,0
term_20,semiannual,credit_card,captive,standard,0,0,0,0.5979625114931194,67,0.7735232618873309,1,99,26,1,91612,0
iul,quarterly,ach,captive,standard,0,1,0,0.3246385652641802,49,0.5322811922020078,0,0,14,1,190308,1
term_10,semiannual,check,independent,preferred,0,1,0,0.6321424600458798,38,0.5945746353798919,0,0,11,1,312771,0
term_20,annual,check,captive,pref_plus,0,1,0,0.5107504950063431,60,0.9013525383140762,1,67,14,3,293196,0
whole_life,annual,ach,captive,pref_plus,0,1,0,0.491923476587912,64,0.33272600381875356,0,0,2,0,228400,0
term_10,monthly,credit_card,online,standard,1,1,0,0.30598661318372455,35,0.7148332706803555,0,0,12,8,325099,0
term_10,monthly,ach,captive,preferred,0,1,0,0.5308752649104351,68,0.6953911175790916,0,0,15,2,270840,1
term_10,monthly,credit_card,captive,substandard,1,1,0,0.8365091897175116,42,0.5466038893659969,1,102,10,0,255645,0
iul,quarterly,credit_card,captive,pref_plus,1,1,0,0.4850572810397205,31,0.5966794152445781,0,0,15,0,298061,0
term_10,quarterly,ach,captive,substandard,0,1,0,0.5611931018385466,54,0.6756395745430526,1,61,16,7,282502,0
term_10,quarterly,ach,captive,standard,0,1,0,0.5907044719706828,32,0.5469802876719311,1,39,7,1,356534,1
term_10,monthly,ach,independent,pref_plus,0,1,0,0.22111706540758638,40,0.4852309921826059,1,65,19,4,227941,1
term_10,quarterly,credit_card,captive,pref_plus,0,1,0,0.4234848981970768,46,0.471675105960827,0,0,11,0,230571,0
whole_life,monthly,credit_card,independent,standard,1,1,0,0.4173953641927313,43,0.9351901655201469,1,49,23,3,265747,0
term_10,monthly,ach,online,pref_plus,1,1,0,0.025018068883705336,25,0.5207471269548832,1,6,19,2,251706,1
term_20,monthly,ach,captive,preferred,0,0,0,0.6077944784119969,28,0.6362432312229159,0,0,14,6,398550,0
term_20,semiannual,ach,independent,standard,0,1,0,0.2636352728320992,23,0.7413454436297177,1,91,7,3,291952,1
ul,monthly,credit_card,captive,substandard,1,1,0,0.5859266244924956,50,0.5619306718244943,0,0,11,0,192145,1
term_10,semiannual,ach,captive,standard,1,1,0,0.29839451066458056,69,0.6064421690161691,0,0,18,12,130715,1
ul,annual,ach,independent,standard,1,1,1,0.8584226277986559,52,0.6904941094855904,1,81,8,4,375683,1
whole_life,monthly,credit_card,captive,standard,0,0,0,0.39428863476656684,47,0.44737224630556766,0,0,14,0,219995,0
term_10,monthly,ach,online,standard,1,1,0,0.8342322163245786,62,0.32343845716292435,0,0,15,3,276450,0
ul,monthly,credit_card,independent,preferred,0,0,0,0.4154579603290105,21,0.46849124375643914,0,0,11,4,248514,0
ul,annual,ach,captive,standard,1,1,0,0.43930602783122713,24,0.911124184356862,0,0,7,4,314519,1
term_20,monthly,ach,captive,standard,0,1,1,0.7633181183018629,69,0.4964714223465449,1,108,21,4,205758,0
iul,monthly,credit_card,independent,standard,1,1,0,0.26648648693241384,64,0.6235168226542205,1,68,14,3,259508,0
term_20,quarterly,ach,captive,substandard,1,1,0,0.4599914472168556,47,0.3613539956591544,1,115,10,6,206354,0
whole_life,monthly,ach,captive,preferred,1,1,0,0.5579073529606865,24,0.8415859500318992,1,13,7,5,472525,0
iul,semiannual,check,captive,standard,1,1,0,0.5307577953952441,29,0.5458046393917476,0,0,17,5,189784,0
term_20,monthly,credit_card,captive,preferred,0,1,0,0.4586045660088532,57,0.5181100878993388,0,0,11,0,294812,1
ul,monthly,credit_card,online,preferred,1,1,0,0.431134898206872,31,0.5759821760035618,1,4,17,0,477632,0
term_20,monthly,ach,captive,preferred,0,1,0,0.6192884946850112,49,1.0,1,96,6,0,337889,1
ul,monthly,ach,captive,substandard,0,0,0,0.48535732821124417,57,0.6794750136131383,1,118,13,2,248298,0
whole_life,quarterly,ach,independent,preferred,0,0,0,0.6432757081151388,40,0.5717771147746582,1,28,9,0,263356,0
term_10,monthly,check,independent,standard,0,1,0,0.5283789424524568,43,0.0810929150837989,0,0,22,0,184980,1
term_20,monthly,credit_card,independent,standard,1,1,0,0.5800410123893527,66,0.8435391353123575,1,110,14,3,384390,0
term_20,semiannual,ach,online,standard,0,0,1,0.6767126187093992,69,0.4749197681812901,0,0,6,0,231935,1
term_10,semiannual,check,captive,standard,0,1,0,0.38798362689546473,42,0.4465227794374955,0,0,17,0,244120,0
term_10,monthly,ach,captive,pref_plus,0,1,0,0.671289872939631,30,0.46261542000094846,1,53,19,0,179740,0
term_20,monthly,credit_card,independent,preferred,1,1,0,0.41863705283574626,21,0.8637042709241671,1,31,9,0,225012,1
term_10,monthly,ach,captive,standard,1,1,2,0.1698678395189106,29,0.5924106196865794,0,0,7,1,255226,0
term_10,monthly,ach,independent,preferred,0,1,0,0.3841605090724294,46,0.32602887887003557,1,28,0,6,337158,0
whole_life,monthly,check,captive,preferred,0,0,0,0.30545952473074334,68,0.5632557781939247,1,118,18,4,271300,0
whole_life,quarterly,credit_card,online,preferred,1,1,1,0.5250669270215987,46,0.45032346377982446,0,0,1,0,337594,0
